category,configuration,metric,statistic,value,unit,scope,source
public_ledger_state,"E6 PP-RETF receipt, concurrency=20, orders=10, N=40",logical public state bytes,mean,551.550,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=20, orders=10, N=40",logical public state bytes,p95_nearest_rank,552.000,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=20, orders=10, N=40",logical public state bytes per order,mean,55.155,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=20, orders=10, N=40",logical public state bytes per order,p95_nearest_rank,55.200,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=20, orders=10, N=40",compact couchdb document json bytes,mean,630.150,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=20, orders=10, N=40",compact couchdb document json bytes,p95_nearest_rank,631.000,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
committee_communication,"n=3, t_sig=2, orders=50",loopback HTTP application payload per committee round,mean,275382.100,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=3, t_sig=2, orders=50",loopback HTTP application payload per committee round,p95_nearest_rank,285183.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=3, t_sig=2, orders=100",loopback HTTP application payload per committee round,mean,552786.500,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=3, t_sig=2, orders=100",loopback HTTP application payload per committee round,p95_nearest_rank,568545.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=3, t_sig=2, orders=500",loopback HTTP application payload per committee round,mean,2801830.100,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=3, t_sig=2, orders=500",loopback HTTP application payload per committee round,p95_nearest_rank,2832312.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=3, t_sig=2, orders=1000",loopback HTTP application payload per committee round,mean,5609432.633,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=3, t_sig=2, orders=1000",loopback HTTP application payload per committee round,p95_nearest_rank,5659194.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=50",loopback HTTP application payload per committee round,mean,461973.833,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=50",loopback HTTP application payload per committee round,p95_nearest_rank,475960.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=100",loopback HTTP application payload per committee round,mean,925749.833,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=100",loopback HTTP application payload per committee round,p95_nearest_rank,947930.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=500",loopback HTTP application payload per committee round,mean,4659423.833,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=500",loopback HTTP application payload per committee round,p95_nearest_rank,4719275.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=1000",loopback HTTP application payload per committee round,mean,9351080.333,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=5, t_sig=3, orders=1000",loopback HTTP application payload per committee round,p95_nearest_rank,9436515.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=50",loopback HTTP application payload per committee round,mean,642836.833,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=50",loopback HTTP application payload per committee round,p95_nearest_rank,666400.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=100",loopback HTTP application payload per committee round,mean,1292378.467,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=100",loopback HTTP application payload per committee round,p95_nearest_rank,1327424.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=500",loopback HTTP application payload per committee round,mean,6508823.500,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=500",loopback HTTP application payload per committee round,p95_nearest_rank,6608959.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=1000",loopback HTTP application payload per committee round,mean,13087860.800,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
committee_communication,"n=7, t_sig=4, orders=1000",loopback HTTP application payload per committee round,p95_nearest_rank,13199851.000,bytes,request JSON sent independently to every process plus response JSON; TCP/IP/HTTP headers excluded,fig3_committee_process_raw.csv
